USE kubernetes_michel
INSERT cadvisor_version_info,node_name=kubernetes3,cadvisorRevision="",cadvisorVersion="",dockerVersion="1.13.1",kernelVersion="4.4.0-130-generic",osVersion="Ubuntu 16.04.3 LTS" value=1 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/kubepods/burstable/pod014f9f48-8b38-11e8-a4cb-fa163e6b6597",image="",name="",namespace="kube-system",pod_name="filebeat-lh75b" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/kubepods/burstable/pod06ee877e-7f8e-11e8-a4cb-fa163e6b6597",image="",name="",namespace="kube-system",pod_name="weave-net-6gd9l" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597",image="",name="",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/accounts-daemon.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/acpid.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/atd.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/cloud-init.service",image="",name="",namespace="",pod_name="" value=49152 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/cron.service",image="",name="",namespace="",pod_name="" value=20037632 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/dbus.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/docker.service",image="",name="",namespace="",pod_name="" value=105893888 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/ifup@ens3.service",image="",name="",namespace="",pod_name="" value=4096 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/irqbalance.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/iscsid.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/kubelet.service",image="",name="",namespace="",pod_name="" value=4513792 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/lvm2-lvmetad.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/lxcfs.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/mdadm.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/polkitd.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/rsyslog.service",image="",name="",namespace="",pod_name="" value=4612096 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/snapd.service",image="",name="",namespace="",pod_name="" value=49152 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/ssh.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/system-getty.slice",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/system-serial\\x2dgetty.slice",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/systemd-journald.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/systemd-logind.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/systemd-timesyncd.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/system.slice/systemd-udevd.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vda",id="/user.slice",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vdb",id="/",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vdb",id="/system.slice",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="",device="/dev/vdb",id="/system.slice/systemd-udevd.service",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="POD",device="/dev/vda",id="/kubepods/besteffort/pod06ee7dea-7f8e-11e8-a4cb-fa163e6b6597/7cda91b701695f6809c18ce54cefca0e86bee0a9abb69d43f966953049fe775c",image="k8s.gcr.io/pause:3.1",name="k8s_POD_kube-proxy-cxwjs_kube-system_06ee7dea-7f8e-11e8-a4cb-fa163e6b6597_1",namespace="kube-system",pod_name="kube-proxy-cxwjs" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="POD",device="/dev/vda",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597/9834ab07d4ad23609b2bfe64ac9a05251020c6827e9f9e1a57a002533beb7958",image="k8s.gcr.io/pause:3.1",name="k8s_POD_default-http-backend-846b65fb5f-82tnk_ingress-nginx_ee6b1c3c-93b9-11e8-85af-fa163e6b6597_15",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="default-http-backend",device="/dev/vda",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597/2a5dd21f52004f73356aa6a7aeab9269e770193509f5b44680247d652bd4ba31",image="sha256:846921f0fe0e57df9e4d4961c0c4af481bf545966b5f61af68e188837363530e",name="k8s_default-http-backend_default-http-backend-846b65fb5f-82tnk_ingress-nginx_ee6b1c3c-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="filebeat",device="/dev/vda",id="/kubepods/burstable/pod014f9f48-8b38-11e8-a4cb-fa163e6b6597/dab92847f7d5d27ca63b2e07fa366c245c18cd0ea6a1966f5b67d83e849fc025",image="sha256:34f48cd3b7ba1e78329daa435440fb3bedcd78b9de1021ddd9e6d421af8b8efb",name="k8s_filebeat_filebeat-lh75b_kube-system_014f9f48-8b38-11e8-a4cb-fa163e6b6597_1",namespace="kube-system",pod_name="filebeat-lh75b" value=897024 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="hello-world",device="/dev/vda",id="/kubepods/besteffort/pode865b574-93b9-11e8-85af-fa163e6b6597/4071c156a69867443ceb5e43e315a544bb734dcb858400139d21431d6e22dd07",image="sha256:4c7ea8709739b768a0b62b1d5a3fee0667137fc8157bd975e79bbe9bb8bea361",name="k8s_hello-world_hello-world-86cddf59d5-gshlp_default_e865b574-93b9-11e8-85af-fa163e6b6597_0",namespace="default",pod_name="hello-world-86cddf59d5-gshlp" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="hello-world",device="/dev/vda",id="/kubepods/besteffort/pode86858d9-93b9-11e8-85af-fa163e6b6597/1b19d5e8a5bfda3dc2509817971b814185fc1e4ceb84f1021dddb30754456f1f",image="sha256:4c7ea8709739b768a0b62b1d5a3fee0667137fc8157bd975e79bbe9bb8bea361",name="k8s_hello-world_hello-world-86cddf59d5-9wn6j_default_e86858d9-93b9-11e8-85af-fa163e6b6597_0",namespace="default",pod_name="hello-world-86cddf59d5-9wn6j" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="hello-world",device="/dev/vda",id="/kubepods/besteffort/pode869591b-93b9-11e8-85af-fa163e6b6597/ad5882c2c1dce07cb612d160f5344e37f9fcab24fca4297d87c57e03f412e65f",image="sha256:4c7ea8709739b768a0b62b1d5a3fee0667137fc8157bd975e79bbe9bb8bea361",name="k8s_hello-world_hello-world-86cddf59d5-x8ztq_default_e869591b-93b9-11e8-85af-fa163e6b6597_0",namespace="default",pod_name="hello-world-86cddf59d5-x8ztq" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="hello-world",device="/dev/vda",id="/kubepods/besteffort/podee5dbaa9-93b9-11e8-85af-fa163e6b6597/1f0271621aacb120cf56c8a00ce109704e3405ebf9fc183dd16693dc6ebc3342",image="sha256:4c7ea8709739b768a0b62b1d5a3fee0667137fc8157bd975e79bbe9bb8bea361",name="k8s_hello-world_hello-world-86cddf59d5-tmkd9_default_ee5dbaa9-93b9-11e8-85af-fa163e6b6597_0",namespace="default",pod_name="hello-world-86cddf59d5-tmkd9" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="hello-world-container",device="/dev/vda",id="/kubepods/besteffort/podee62d58b-93b9-11e8-85af-fa163e6b6597/340bbe1c4d72ac1679fa8971638d7f420da659489c706b12925d113f9e2e405a",image="gokul93/hello-world@sha256:4cf553f69fbb1c331a1ac8f3b6dc3a2d92276e27e55b79c049aec6b841f904ac",name="k8s_hello-world-container_hello-world-deployment-74669f7bc4-t22sv_default_ee62d58b-93b9-11e8-85af-fa163e6b6597_0",namespace="default",pod_name="hello-world-deployment-74669f7bc4-t22sv" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="http-svc",device="/dev/vda",id="/kubepods/besteffort/pode8736b4b-93b9-11e8-85af-fa163e6b6597/a60039e90fccc558bc5d3d1d6c8d15528129684aec32c401473000be5db70862",image="sha256:82e4c8a736a4fcf22b5ef9f6a4ff6207064c7187d7694bf97bd561605a538410",name="k8s_http-svc_http-svc-66ffffc458-tcsjw_ingress-nginx_e8736b4b-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="http-svc-66ffffc458-tcsjw" value=133529600 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="kube-proxy",device="/dev/vda",id="/kubepods/besteffort/pod06ee7dea-7f8e-11e8-a4cb-fa163e6b6597/fce856436f32c453d5c7969ecea77672b6de253d1e17266f96d1720d3395c922",image="sha256:1d3d7afd77d133d0e2ae37b06de8a2c5919a27fc0c45c4cdaa2f3e75cfcddb11",name="k8s_kube-proxy_kube-proxy-cxwjs_kube-system_06ee7dea-7f8e-11e8-a4cb-fa163e6b6597_1",namespace="kube-system",pod_name="kube-proxy-cxwjs" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="nginx-error-server",device="/dev/vda",id="/kubepods/besteffort/podee6703c8-93b9-11e8-85af-fa163e6b6597/f78cdc137af6e00af170609a412965090a38c6175e094f48624e282650baa66a",image="sha256:5a33cbabed95e428c075275620d7426feedc5854701dd484dc80d2bd67f34c22",name="k8s_nginx-error-server_nginx-errors-7d6bd68dfd-dfqrw_default_ee6703c8-93b9-11e8-85af-fa163e6b6597_0",namespace="default",pod_name="nginx-errors-7d6bd68dfd-dfqrw" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="nginx-ingress-controller",device="/dev/vda",id="/kubepods/besteffort/pode874430f-93b9-11e8-85af-fa163e6b6597/af895dbe45207d6acf873004e7116531634d00b79040982bf0478df880072c71",image="sha256:2952cea7d7f116f9c479e289ba23afd14b132cdc4afe76451bf321bd3fc722ce",name="k8s_nginx-ingress-controller_nginx-ingress-controller-5f4db45fb4-2cvxp_ingress-nginx_e874430f-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="nginx-ingress-controller-5f4db45fb4-2cvxp" value=98304 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="nginx-ingress-controller",device="/dev/vda",id="/kubepods/besteffort/pode878d175-93b9-11e8-85af-fa163e6b6597/1ece441d4829567efc343ab055f2217116c398e2f238ad7d27ef8559633c4b2b",image="sha256:2952cea7d7f116f9c479e289ba23afd14b132cdc4afe76451bf321bd3fc722ce",name="k8s_nginx-ingress-controller_nginx-ingress-controller-5f4db45fb4-lh2z2_ingress-nginx_e878d175-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="nginx-ingress-controller-5f4db45fb4-lh2z2" value=114688 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="nginx-ingress-controller",device="/dev/vda",id="/kubepods/besteffort/podee6f0c1d-93b9-11e8-85af-fa163e6b6597/677d5ec823c6c45d01754f4c5b3458608d32ebfa4cadb2348114d494a2fa401b",image="sha256:2952cea7d7f116f9c479e289ba23afd14b132cdc4afe76451bf321bd3fc722ce",name="k8s_nginx-ingress-controller_nginx-ingress-controller-5f4db45fb4-5n4lq_ingress-nginx_ee6f0c1d-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="nginx-ingress-controller-5f4db45fb4-5n4lq" value=98304 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="nginx-ingress-controller",device="/dev/vda",id="/kubepods/besteffort/podee73430f-93b9-11e8-85af-fa163e6b6597/9ca5d91f4bff157233930bcacfb7460f8c5eac199b4a7b711bedc9b3ffaa3612",image="sha256:2952cea7d7f116f9c479e289ba23afd14b132cdc4afe76451bf321bd3fc722ce",name="k8s_nginx-ingress-controller_nginx-ingress-controller-5f4db45fb4-9w5qt_ingress-nginx_ee73430f-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="nginx-ingress-controller-5f4db45fb4-9w5qt" value=98304 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="tiller",device="/dev/vda",id="/kubepods/besteffort/podee7e8aeb-93b9-11e8-85af-fa163e6b6597/de5269b89d3c971b595bb5bc324f0d0cdd33d2fd1bb6dd2e76676411531a4b20",image="sha256:6253045f26c648b3ee595742ffda25718ffb927096b7e25eea316d3eb9144126",name="k8s_tiller_tiller-deploy-597c48f967-p9hvd_kube-system_ee7e8aeb-93b9-11e8-85af-fa163e6b6597_0",namespace="kube-system",pod_name="tiller-deploy-597c48f967-p9hvd" value=0 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="weave",device="/dev/vda",id="/kubepods/burstable/pod06ee877e-7f8e-11e8-a4cb-fa163e6b6597/07c04b832c99c26cdbf6dffb8cae20582cd3228b738cd419bae75d5a01074b69",image="sha256:f15514acce73881f69bc835c581692682197e924b36c048d97d515336dade681",name="k8s_weave_weave-net-6gd9l_kube-system_06ee877e-7f8e-11e8-a4cb-fa163e6b6597_3",namespace="kube-system",pod_name="weave-net-6gd9l" value=1261568 1533056012027318001
INSERT container_fs_writes_bytes_total,node_name=kubernetes3,container_name="weave-npc",device="/dev/vda",id="/kubepods/burstable/pod06ee877e-7f8e-11e8-a4cb-fa163e6b6597/bd445ab8fb4ce26817c2b639af8d88076e89623e0c02087906503608bf5c9736",image="sha256:21545eb3d6f902bbb38be21d3b1dfb02008c4ab16cebed3950767627a7931f7c",name="k8s_weave-npc_weave-net-6gd9l_kube-system_06ee877e-7f8e-11e8-a4cb-fa163e6b6597_1",namespace="kube-system",pod_name="weave-net-6gd9l" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="",device="/dev/vda1",id="/",image="",name="",namespace="",pod_name="" value=159196 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="",device="tmpfs",id="/",image="",name="",namespace="",pod_name="" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="POD",device="/dev/vda1",id="/kubepods/besteffort/pod06ee7dea-7f8e-11e8-a4cb-fa163e6b6597/7cda91b701695f6809c18ce54cefca0e86bee0a9abb69d43f966953049fe775c",image="k8s.gcr.io/pause:3.1",name="k8s_POD_kube-proxy-cxwjs_kube-system_06ee7dea-7f8e-11e8-a4cb-fa163e6b6597_1",namespace="kube-system",pod_name="kube-proxy-cxwjs" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="POD",device="/dev/vda1",id="/kubepods/besteffort/pode865b574-93b9-11e8-85af-fa163e6b6597/218375f79369961770fd9366bb5eb922a01d3e861e80077cf9e4ba095d08c528",image="k8s.gcr.io/pause:3.1",name="k8s_POD_hello-world-86cddf59d5-gshlp_default_e865b574-93b9-11e8-85af-fa163e6b6597_20",namespace="default",pod_name="hello-world-86cddf59d5-gshlp" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="POD",device="/dev/vda1",id="/kubepods/besteffort/pode86858d9-93b9-11e8-85af-fa163e6b6597/1b7dac5562628379baa7aca532046ad7d1c5a6084cbd2f8304c15bfa1571401e",image="k8s.gcr.io/pause:3.1",name="k8s_POD_hello-world-86cddf59d5-9wn6j_default_e86858d9-93b9-11e8-85af-fa163e6b6597_14",namespace="default",pod_name="hello-world-86cddf59d5-9wn6j" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="POD",device="/dev/vda1",id="/kubepods/besteffort/pode869591b-93b9-11e8-85af-fa163e6b6597/c49389a5ac0f472d715c76ba11f4ca696809afae12acf9648bcddb743ab5cc4e",image="k8s.gcr.io/pause:3.1",name="k8s_POD_hello-world-86cddf59d5-x8ztq_default_e869591b-93b9-11e8-85af-fa163e6b6597_20",namespace="default",pod_name="hello-world-86cddf59d5-x8ztq" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="POD",device="/dev/vda1",id="/kubepods/besteffort/pode86d8eda-93b9-11e8-85af-fa163e6b6597/ab053cfbf7796a35e4abf0402ba9b54c98385d5533e85e15739fc6b494cc8979",image="k8s.gcr.io/pause:3.1",name="k8s_POD_test-69d96f9cf5-sk278_default_e86d8eda-93b9-11e8-85af-fa163e6b6597_17",namespace="default",pod_name="test-69d96f9cf5-sk278" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="POD",device="/dev/vda1",id="/kubepods/besteffort/pode8736b4b-93b9-11e8-85af-fa163e6b6597/3bf3ea0bd60ce56c0175c4185866a754bd9adb612a103f4e16e0f44ebc941e1c",image="k8s.gcr.io/pause:3.1",name="k8s_POD_http-svc-66ffffc458-tcsjw_ingress-nginx_e8736b4b-93b9-11e8-85af-fa163e6b6597_20",namespace="ingress-nginx",pod_name="http-svc-66ffffc458-tcsjw" value=0 1533056012027318001
INSERT container_fs_writes_merged_total,node_name=kubernetes3,container_name="POD",device="/dev/vda1",id="/kubepods/besteffort/pode874430f-93b9-11e8-85af-fa163e6b6597/ce5c1d091b1dec6cb1b737976ea4f44527b34650098a34015057f2c983487c2b",image="k8s.gcr.io/pause:3.1",name="k8s_POD_nginx-ingress-controller-5f4db45fb4-2cvxp_ingress-nginx_e874430f-93b9-11e8-85af-fa163e6b6597_18",namespace="ingress-nginx",pod_name="nginx-ingress-controller-5f4db45fb4-2cvxp" value=0 1533056012027318001
